rainfall,water_level,flow_rate,temperature,humidity,wind_speed,flood
127.9,0.58,47.5,20.6,81.6,33.8,0
17.4,1.77,23.0,20.5,65.4,1.3,0
130.0,2.13,42.0,29.7,86.7,0.3,0
139.6,1.52,35.5,38.9,53.6,4.6,0
169.5,2.31,100.7,33.2,67.5,48.7,1
110.4,2.99,81.9,36.5,70.4,35.2,1
45.6,1.37,28.0,20.8,37.1,13.9,0
73.0,1.61,41.0,21.7,95.6,32.4,0
34.2,2.69,36.3,24.5,99.3,32.0,0
136.9,3.03,97.6,20.7,32.2,15.8,1
42.2,3.33,107.6,22.9,75.9,19.8,1
91.8,1.29,44.7,29.0,48.4,29.2,0
79.9,1.16,119.8,27.7,36.4,2.4,0
125.5,2.88,62.2,16.6,56.7,49.8,1
194.2,3.08,21.1,33.0,77.7,26.8,1
128.2,0.83,63.5,26.3,96.8,43.8,0
100.1,1.04,111.3,36.8,50.9,31.9,0
30.6,2.79,73.9,34.5,67.1,0.0,0
3.9,3.29,107.9,35.8,51.5,2.9,0
189.4,0.76,68.6,16.7,83.2,38.3,0
95.1,2.15,46.5,36.8,59.6,10.6,0
146.0,1.1,51.2,39.9,75.5,21.9,0
24.2,1.17,53.8,29.7,46.1,11.0,0
126.2,1.19,110.5,36.5,35.0,11.9,1
42.8,0.9,113.6,29.3,63.1,39.2,0
38.1,0.79,63.1,25.6,62.7,36.5,0
196.8,0.8,60.3,23.5,90.3,12.4,0
89.7,1.77,47.9,21.2,94.6,22.2,0
110.1,0.65,119.9,35.9,97.8,46.3,0
33.3,1.96,41.4,25.0,34.1,18.9,0
53.0,2.85,65.5,25.6,97.0,49.8,0
143.7,0.96,49.7,39.2,70.5,27.1,0
11.4,2.25,70.3,36.3,41.0,48.0,0
37.2,2.29,87.5,20.9,38.4,44.5,0
118.9,2.36,61.9,29.6,66.6,46.7,0
143.2,1.22,59.6,31.8,51.0,15.8,0
14.5,1.87,119.8,39.9,35.1,10.7,0
186.7,3.14,107.9,24.2,41.0,41.7,1
122.3,3.46,85.4,15.2,87.2,15.0,1
187.8,0.9,31.5,17.7,68.7,13.6,0
143.5,1.11,83.4,21.6,64.2,45.3,1
18.5,1.77,47.7,15.1,84.0,31.9,0
148.2,2.16,62.8,15.2,35.3,44.2,1
109.1,3.0,78.3,18.7,38.9,15.4,1
159.2,3.08,109.9,20.3,47.5,5.1,1
176.8,1.72,82.1,18.9,95.1,43.2,1
162.2,3.14,22.5,33.4,53.3,46.5,1
172.8,2.93,46.7,34.7,37.6,43.6,1
44.5,2.95,66.0,22.6,85.7,11.4,0
38.6,1.48,106.4,39.2,49.5,32.1,0
196.2,2.11,113.9,17.9,97.9,8.9,1
53.1,0.83,63.5,33.2,52.0,30.3,0
77.0,2.23,45.5,32.7,30.1,46.3,0
143.9,2.73,87.1,24.1,34.9,33.2,1
62.8,3.04,92.0,22.5,51.6,20.4,1
59.1,0.88,62.0,38.5,77.4,45.1,0
60.2,2.14,20.0,22.2,60.1,29.0,0
93.0,1.83,41.4,26.8,93.1,39.8,0
17.0,2.05,83.3,23.4,87.3,37.6,0
44.9,1.1,22.4,21.1,63.3,42.5,0
82.9,2.39,39.4,32.4,64.6,12.2,0
1.1,2.75,97.0,17.7,59.8,8.8,0
103.6,0.65,44.9,36.2,62.0,40.1,0
197.6,2.29,115.0,37.3,72.9,36.0,1
166.1,2.14,109.7,33.6,63.2,13.0,1
127.5,2.8,72.1,30.7,49.2,3.9,1
54.3,1.46,74.0,18.5,46.2,34.7,0
12.8,1.72,74.3,25.4,44.5,21.0,0
116.8,2.59,105.7,34.1,56.6,0.3,1
150.7,3.06,115.3,25.5,82.3,27.3,1
44.1,1.16,63.6,15.7,53.5,34.0,0
33.0,1.9,32.8,30.6,31.9,19.7,0
5.4,2.43,33.6,26.5,33.5,19.0,0
65.4,2.78,57.9,33.8,88.2,12.6,0
3.9,2.12,120.0,23.7,75.5,39.1,0
150.8,3.35,39.9,15.5,40.7,6.3,1
112.8,1.15,89.9,34.2,41.7,30.4,0
22.9,2.96,116.5,17.7,31.8,15.6,1
191.6,1.69,91.5,16.9,78.3,31.4,1
154.5,3.05,80.0,18.0,98.9,39.1,1
85.7,1.61,70.6,23.5,89.5,41.1,0
192.2,2.41,102.9,32.7,60.5,36.7,1
54.0,2.92,73.8,27.1,60.5,36.6,0
170.3,2.99,28.7,37.0,47.1,23.2,1
75.8,0.59,105.1,19.5,44.8,39.9,0
176.1,2.6,47.6,15.3,96.4,4.3,1
97.7,2.77,89.1,31.1,64.4,39.6,1
44.3,2.58,50.6,29.5,63.1,26.5,0
149.2,1.49,90.3,21.8,47.6,6.0,1
23.9,2.11,96.2,19.6,45.1,24.2,0
195.3,2.07,48.3,17.5,43.6,11.4,1
2.8,2.1,47.4,39.4,68.7,34.9,0
173.7,1.97,107.3,29.4,62.9,22.0,1
10.3,3.32,67.8,35.6,58.0,3.7,0
10.7,0.95,76.3,22.6,99.6,5.9,0
121.3,2.87,42.6,28.1,61.5,22.1,1
198.0,1.42,82.1,30.2,81.8,47.4,1
42.2,2.48,35.7,19.3,35.3,0.1,0
118.8,1.37,43.1,32.7,79.2,22.7,0
184.8,2.86,82.5,31.5,95.4,21.3,1
129.5,3.23,102.7,16.8,41.6,15.4,1
113.8,1.37,32.4,32.2,79.0,47.1,0
98.8,0.74,24.0,25.8,52.6,12.5,0
192.4,3.01,77.5,38.8,100.0,33.6,1
8.0,2.77,67.1,31.3,94.1,9.1,0
127.0,1.98,29.1,23.7,53.3,33.5,0
66.0,2.58,48.8,38.6,86.9,27.5,0
62.9,1.47,117.0,25.1,66.0,49.4,0
108.5,1.74,38.8,24.0,83.0,31.3,0
40.7,2.15,112.8,26.0,78.9,6.1,0
121.8,1.22,35.8,28.8,68.7,4.7,0
182.6,1.88,31.7,35.8,64.9,35.8,1
54.7,3.0,118.0,21.1,68.6,19.2,1
101.6,3.14,106.4,21.9,85.3,20.7,1
101.5,2.96,48.3,22.5,71.1,49.9,0
29.7,2.12,54.5,28.8,68.0,22.8,0
37.7,2.59,77.2,20.8,84.3,2.2,0
141.0,2.93,58.6,31.6,87.5,49.0,1
7.4,2.01,79.0,36.7,91.2,22.0,0
91.4,2.67,61.0,31.4,40.8,23.5,1
67.7,2.58,85.0,36.3,89.7,43.0,0
63.3,2.66,95.9,36.8,32.5,3.4,1
184.2,3.49,94.7,25.8,36.9,31.7,1
88.7,2.58,110.3,16.1,85.7,14.7,1
29.1,2.09,76.6,34.8,41.9,3.9,0
123.9,1.22,111.3,18.6,62.3,12.7,0
1.9,2.91,110.1,31.9,41.1,22.1,0
117.5,2.42,62.4,21.3,89.2,10.0,0
96.6,1.21,77.2,29.4,99.5,14.8,0
131.6,1.32,76.6,32.1,82.1,2.5,0
99.3,3.21,48.6,35.0,72.5,17.6,1
124.2,2.53,92.1,31.5,88.7,31.4,1
129.3,1.43,64.1,29.5,81.3,4.5,0
149.5,1.03,33.2,28.5,98.0,26.5,0
166.1,1.27,102.5,27.0,86.5,37.3,1
23.0,3.39,34.1,39.2,90.2,36.2,0
193.5,2.91,56.6,34.8,31.0,26.8,1
134.6,2.52,78.5,35.6,95.8,5.4,1
5.0,3.15,76.1,37.9,45.5,3.2,0
181.9,1.41,60.8,18.5,96.2,15.2,1
19.4,3.16,33.6,26.3,76.9,37.2,0
83.8,2.73,35.5,25.4,36.9,24.5,0
190.3,0.6,57.1,26.1,96.5,42.8,0
137.1,2.13,117.8,24.0,57.9,9.5,1
169.6,1.86,86.3,31.0,71.8,1.1,1
48.7,0.88,76.5,16.7,83.6,10.4,0
173.9,1.49,34.8,37.5,30.2,42.9,0
26.0,1.25,37.4,31.5,31.8,0.7,0
47.6,1.47,37.4,16.3,81.9,26.3,0
95.2,2.83,71.3,17.7,65.3,47.3,0
156.6,3.1,72.1,26.5,97.5,3.0,1
80.3,2.56,69.0,37.7,35.1,4.0,0
13.1,1.33,83.3,28.7,52.8,49.7,0
90.7,2.32,29.9,32.5,89.7,32.5,0
144.2,1.15,65.2,20.7,53.7,22.7,0
19.0,1.78,86.5,24.4,40.7,46.1,0
166.4,0.78,29.7,33.5,86.8,27.8,0
112.3,1.49,32.2,23.8,76.6,37.5,0
144.2,3.41,80.0,23.8,70.5,10.6,1
44.8,0.82,104.5,24.2,83.4,28.7,0
169.0,3.42,101.8,30.3,75.0,1.3,1
165.9,1.3,38.0,32.6,51.6,17.0,0
174.0,2.2,60.1,18.5,74.3,1.5,1
43.0,1.76,54.1,24.3,80.5,38.8,0
17.0,0.66,35.7,30.4,77.2,13.6,0
97.1,1.83,47.3,33.9,38.0,21.5,0
135.7,1.96,86.7,16.1,57.7,30.0,0
60.3,1.13,33.7,21.4,53.0,0.4,0
35.1,1.64,90.4,27.5,88.3,40.3,0
172.4,0.63,21.9,38.0,90.3,28.8,0
141.9,1.75,31.5,15.5,52.7,40.1,0
166.4,3.26,28.8,36.1,47.0,29.4,1
79.2,1.43,54.0,23.3,41.8,25.5,0
102.0,3.22,54.9,33.2,87.3,40.8,1
29.3,1.09,80.2,34.0,75.9,8.9,0
98.8,2.76,96.0,26.2,94.7,28.2,1
124.9,3.09,82.7,18.8,34.8,22.1,1
54.9,0.67,70.7,22.8,61.6,2.8,0
15.3,3.09,105.5,30.4,65.5,23.1,0
158.4,3.19,65.0,35.2,75.6,16.1,1
30.2,0.69,30.4,37.5,54.0,35.7,0
34.5,1.24,63.8,26.0,66.6,7.9,0
56.6,1.73,53.8,29.9,85.2,32.4,0
18.9,2.54,48.4,33.1,76.0,45.3,0
66.7,2.25,34.1,23.7,97.7,34.9,0
119.0,3.31,51.0,24.4,85.4,40.7,1
165.8,2.72,88.5,28.2,75.2,21.2,1
72.5,1.04,41.4,38.7,64.0,11.3,0
